word,occurrence,day
aitus,1.1681843599825175e-09,
aiver,3.3939541240992122e-09,
aiyee,6.505076726347097e-11,
aizle,3.14186080577686e-10,
ajies,3.7300041002600606e-10,
ajiva,8.927159746606355e-10,
ajuga,1.424503323565922e-09,
ajwan,3.0776177242359133e-10,
akees,1.6924471517752618e-10,
akela,1.2143796258376258e-10,
akene,7.2820690098411265e-09,
aking,5.663499597502025e-07,
akita,3.3427321946768787e-10,
akkas,8.625200282896389e-11,
alaap,2.0548127278222723e-10,
alack,2.429214387969289e-07,
alamo,1.4419867787062852e-08,
aland,1.156606544931822e-07,
alane,6.542345768723889e-08,
alang,4.0710210641875095e-08,
alans,3.7717460510080005e-09,
alant,3.606787015741054e-09,
alapa,2.940723413711834e-09,
alaps,1.8292231225996564e-10,
alarm,1.034104223435861e-05,1521.0
alary,2.836971913179929e-08,
alate,8.828164886129578e-08,
alays,4.774466424728025e-09,
albas,1.2574130664893672e-08,
albee,3.196532024947249e-08,
album,5.730755469812721e-06,347.0
alcid,6.603962060029187e-10,
alcos,5.026777711895807e-10,
aldea,6.1392772510480654e-09,
alder,5.113302105422909e-07,
aldol,4.279630896309749e-08,
aleck,8.665819249740278e-09,
alecs,9.546027175864358e-10,
alefs,8.640883810303185e-09,
aleft,8.567210410417111e-09,
aleph,3.3005786251957186e-08,
alert,8.937168095144443e-06,1563.0
alews,3.0113274066497476e-10,
aleye,3.545674384172534e-10,
alfas,5.340871040031814e-09,
algae,5.234422947069106e-06,1047.0
algal,3.809822561292501e-07,
algas,2.8664387136326027e-09,
algid,8.626146122830541e-09,
algin,7.4349569859718444e-09,
algor,2.9214411638098235e-09,
algum,1.9035861611310657e-08,
alias,1.1954366198752865e-05,
alibi,1.0340601897951273e-06,2215.0
alien,1.2385608588374453e-05,429.0
alifs,5.61956662387013e-10,
align,2.577629709321627e-06,1139.0
alike,1.166132093203487e-05,478.0
aline,2.2660710301205877e-07,
alist,1.9257207317657788e-08,
alive,2.3980135483725463e-05,892.0
aliya,5.578479763206933e-09,
alkie,8.515523702351855e-09,
alkos,9.01099233291189e-12,
alkyd,5.718025179904546e-08,
alkyl,1.1516879622118077e-06,
allay,7.389271479496528e-07,2118.0
allee,1.4400660707492874e-08,
allel,2.4318016408256905e-08,
alley,3.2501207465429618e-06,909.0
allis,4.449133390371785e-07,
allod,6.886944040345647e-09,
allot,4.75535981934172e-07,2098.0
allow,8.620703410997522e-05,276.0
alloy,1.007437202588335e-05,2040.0
allyl,1.777466399587569e-07,
almah,2.5327452105946903e-09,
almas,1.7199946282199827e-08,
almeh,6.020108686661978e-10,
almes,1.9018751970775095e-06,
almud,3.624155130700101e-09,
almug,1.821873407796548e-08,
alods,4.687065810658219e-10,
aloed,2.0537890054493744e-10,
aloes,5.831543072500376e-07,
aloft,1.352890931229922e-06,231.0
aloha,1.2314275133783726e-08,
aloin,1.4409334519909052e-08,
alone,9.382605538121424e-05,112.0
along,0.0001789049452054,1261.0
aloof,1.4226929079086404e-06,1805.0
aloos,2.321292472930063e-09,
aloud,5.813061397930141e-06,525.0
alowe,2.2897430481063545e-07,
alpha,8.343059598701074e-06,470.0
altar,6.811890161770862e-06,137.0
alter,1.575824806423043e-05,1508.0
altho,4.225267696652461e-06,
altos,8.705041803630948e-08,
alula,1.1412338266497251e-08,
alums,4.2930794522751866e-08,
alure,4.039868263880151e-08,
alvar,1.952391074505621e-09,
alway,4.427499281416221e-06,
amahs,3.271045664834297e-09,
amain,6.456214822280461e-07,
amass,3.794897662601216e-07,1069.0
amate,1.2431788822520905e-07,
amaut,8.529114378439054e-10,
amaze,3.755604817001768e-07,881.0
amban,2.982569354767056e-09,
amber,2.008331018714671e-06,2033.0
ambit,2.328397603202658e-07,
amble,1.344009108095179e-07,1025.0
ambos,2.55665425471422e-08,
ambry,5.618557242322767e-09,
ameba,2.7484440538044776e-08,
ameer,1.2361368606772506e-07,
amend,1.825466565151146e-05,1162.0
amene,1.0640547434398889e-08,
amens,2.7434510412572576e-08,
ament,2.488368038989518e-07,
amias,1.1145062625321392e-09,
amice,7.576299117047963e-08,
amici,2.205899887539267e-07,
amide,5.984692655026829e-07,
amido,7.825361621749404e-08,
amids,7.00542723866762e-08,
amies,1.3979242674544426e-07,
amiga,7.709089751497875e-09,
amigo,3.9311093977897255e-08,
amine,1.3471833241851528e-06,
amino,3.3161337332110465e-06,
amins,6.795181021073809e-09,
amirs,4.077765341322135e-08,
amiss,8.585484840750723e-07,1862.0
amity,3.604219608632775e-07,1388.0
amlas,1.0225386188152428e-09,
amman,3.6360928760970083e-09,
ammon,5.2897716805124275e-08,
ammos,8.519706831075075e-09,
amnia,4.1784767988610575e-09,
amnic,1.3739806869707591e-10,
amnio,7.360092569382773e-09,
amoks,5.476948465534729e-10,
amole,3.2113936599174567e-09,
among,0.0002288377852528,1043.0
amort,1.1394776687340552e-07,
amour,6.869016197824224e-07,
amove,4.865638191007784e-08,
amowt,1.5879204468421518e-10,
amped,1.3436851772907766e-08,
ample,7.510876948799705e-06,308.0
amply,1.8086476416101505e-06,795.0
ampul,1.0334585623490604e-08,
amrit,2.3641607110826883e-09,
amuck,2.973262004700119e-08,
amuse,1.0552521246154356e-06,1051.0
amyls,3.384619520683124e-10,
anana,9.058409263923857e-09,
anata,6.904142953712854e-09,
ancho,1.8165346094001224e-08,
ancle,2.519909015725912e-07,
ancon,5.968777137714649e-09,
andro,1.437162067595955e-07,
anear,2.024950765592367e-08,
anele,2.909796732090216e-09,
anent,1.793163982366508e-06,
angas,4.319864375187302e-09,
angel,6.871398145449348e-06,1844.0
anger,2.0774770000571152e-05,2190.0
angle,3.624957178544719e-05,649.0
anglo,3.5008273854190226e-08,
angry,1.8509108285797997e-05,410.0
angst,4.6127200718615325e-07,1125.0
anigh,1.2169932845768488e-08,
anile,1.82753968697585e-08,
anils,3.598651954617385e-08,
anima,9.209092961161612e-07,
anime,1.9960039061572842e-07,911.0
animi,5.761959154317363e-07,
anion,1.3626367208226988e-06,
anise,1.525878419275437e-07,
anker,2.626718391172635e-07,
ankhs,4.706870082262271e-10,
ankle,4.208540772197011e-06,1773.0
ankus,1.525094841120084e-09,
anlas,2.8101484655849035e-08,
annal,1.0608861402950665e-07,
annas,3.224639113610714e-07,
annat,1.3110997515335229e-08,
annex,2.0078683701285628e-06,1647.0
annoy,7.503209457127014e-07,1317.0
annul,5.488374955575637e-07,677.0
anoas,7.441312578279623e-10,
anode,2.933787795882381e-06,1899.0
anole,1.1789004896888748e-08,
anomy,1.4265533909160424e-08,
ansae,5.838558615104491e-09,
antae,1.9921476609794037e-08,
antar,3.479519100410769e-09,
antas,4.073668806928379e-09,
anted,1.6303797913440013e-07,
antes,4.0526318518466004e-07,
antic,1.5739006343551409e-07,2142.0
antis,3.878794952535317e-08,
antra,3.5184430761200284e-08,
antre,7.49940778110004e-09,
antsy,1.3479762073847938e-08,
anura,1.9633812546924714e-09,
anvil,7.5890427979175e-07,2171.0
anyon,1.3292418843829497e-08,
aorta,2.721082969401323e-06,2308.0
apace,2.4256252294535968e-06,
apage,1.0449320762188161e-08,
apaid,4.967218506411634e-08,
apart,3.386787811905378e-05,1691.0
apayd,5.7389377895079657e-08,
apays,2.4016733009386727e-10,
apeak,2.0820732150765683e-08,
apeek,6.866386229763587e-10,
apers,1.0028692506479045e-07,
apert,4.2245847140606113e-08,
apery,5.324302412418752e-09,
apgar,9.207883537107115e-10,
aphid,9.851811398675635e-07,413.0
aphis,1.8791603186681e-07,
apian,2.2597805780895267e-08,
aping,1.1186748778868605e-07,704.0
apiol,4.787928495876025e-09,
apish,1.9684103719475898e-07,
apism,1.0430084079401935e-10,
apnea,1.0728279116278827e-06,1917.0
apode,4.320144076943183e-10,
apods,2.060964126857185e-10,
apoop,3.917110585546779e-11,
aport,1.0111924091650036e-08,
appal,1.3591152663135102e-07,
appay,2.1828509573269174e-09,
appel,1.3633731626054685e-07,
apple,8.15445268926851e-06,615.0
apply,8.434277042397298e-05,1193.0
appro,6.810345242413973e-07,
appui,5.082196832433101e-08,
appuy,6.287241656920021e-09,
apres,3.113441285502898e-07,
apron,2.2652456186733616e-06,371.0
apses,5.3285230811904986e-08,
apsis,6.168415803954074e-08,
apsos,1.6486593874286668e-10,
apted,4.4323835044789684e-08,
apter,3.583727798824791e-07,
aptly,1.8223608935841184e-06,522.0
aquae,8.72206596929787e-08,
aquas,1.1396560201019177e-07,
araba,7.206206647749112e-09,
araks,8.799260755795735e-11,
arame,1.5136299673048122e-09,
arars,2.4148692869092773e-10,
arbas,1.152866345777693e-09,
arbor,4.2332153554980323e-07,830.0
arced,2.2567194494419552e-08,
archi,2.218152547075811e-07,
arcos,7.958204208765499e-09,
arcus,7.914168048086023e-08,
ardeb,3.957452096527895e-09,
ardor,5.09727114490488e-07,637.0
ardri,3.005496253714772e-10,
aread,1.0966334341828869e-07,
areae,1.1379219903744185e-08,
areal,1.6989294992950312e-06,
arear,5.397101110471425e-09,
areas,5.206503934053112e-05,
areca,1.5123699448167553e-07,
aredd,3.984436407647612e-09,
arede,3.0640934217727266e-08,
arefy,8.881157941276624e-10,
areic,2.16334522224556e-10,
arena,6.990539359321701e-06,1015.0
arene,3.504297762737871e-08,
arepa,4.584395279633596e-09,
arere,3.5241416859305586e-08,
arete,5.603244022271799e-08,
arets,5.942972838899415e-09,
arett,1.2072149303580975e-09,
argal,8.998507007478113e-09,
argan,5.278620995169403e-09,
argil,5.613206025566732e-08,
argle,2.163439571293365e-09,
argol,1.905161261272193e-08,
argon,1.565620160662947e-06,
argot,3.301130485035595e-08,
argue,2.683506547327852e-05,73.0
argus,3.8302768198187433e-08,
arhat,7.475312931800508e-09,
arias,1.313600345506863e-07,
ariel,7.103753687424193e-09,
ariki,8.477285911066514e-09,
arils,8.111874836910996e-09,
ariot,1.5928062427192678e-08,
arise,2.546794588852208e-05,560.0
arish,8.433741637943363e-08,
arked,1.5352875202566932e-08,
arled,5.011483601233054e-10,
arles,4.4928841302915854e-08,
armed,2.5193984838376937e-05,
armer,5.4925530786812485e-08,
armet,8.102694880329774e-09,
armil,1.802266093342606e-09,
armor,3.69415741715784e-06,1727.0
arnas,1.000098318396092e-09,
arnut,4.2302632418968635e-09,
aroba,2.2214086563143507e-09,
aroha,2.9770296485465997e-09,
aroid,8.036463097130883e-09,
aroma,1.868620094001017e-06,242.0
arose,1.243045768205775e-05,1252.0
arpas,2.0296238538655483e-10,
arpen,1.5921205460715684e-09,
arrah,5.146475739587358e-09,
arras,3.451478208947269e-07,
array,2.0758211521751947e-05,1120.0
arret,1.7272237515071513e-07,
arris,6.003127932017695e-08,
arrow,8.71724912940408e-06,1774.0
arroz,7.117896235667805e-09,
arsed,5.6598925683394906e-08,
arses,9.633023389564135e-08,
arsey,7.527156337664195e-10,
arsis,3.2927503515680976e-08,
arson,1.485241261889314e-06,659.0
artal,8.470796335062533e-09,
artel,4.2096661404619126e-08,
artic,1.6858899611039445e-07,
artis,2.631326258012861e-07,
artsy,8.888647005989014e-08,2312.0
aruhe,5.932001754655341e-10,
arums,8.933142711024052e-09,
arval,1.7511305484722955e-09,
arvee,5.3690719985606857e-11,
arvos,4.314566888192292e-11,
aryls,1.774186152065777e-09,
asana,9.224000840165529e-09,
ascon,1.3260124193248615e-09,
ascot,2.8376055443146697e-08,1057.0
ascus,4.5469067133758936e-08,
asdic,5.313356905538089e-09,
ashed,5.1891474913604665e-08,
ashen,4.096612138937417e-07,1104.0
ashes,8.624990820858505e-06,
ashet,1.930214588657621e-09,
aside,2.912819101766217e-05,192.0
asked,8.487282350240723e-05,
asker,2.776167367273093e-08,
askew,3.2870659055106444e-07,316.0
askoi,9.067608785490391e-10,
askos,2.5756194256970193e-09,
aspen,3.9459873088040133e-07,
asper,1.0416663458980335e-07,
aspic,4.1461140701889367e-08,
aspie,9.780201569549345e-09,
aspis,1.7244457023873467e-08,
aspro,5.3256112728106165e-09,
assai,6.926818440030539e-08,
assam,3.309593511960149e-09,
assay,8.621885172033217e-06,869.0
asses,2.273496743276072e-06,
asset,1.8609704839036567e-05,349.0
assez,1.223206451034669e-07,
assot,1.4941164547041742e-09,
aster,1.381503698756166e-05,
astir,2.697206239705024e-07,
astun,3.7183273748348166e-10,
asura,8.343529261613568e-09,
asway,2.6542112753651627e-09,
aswim,6.696071108916244e-10,
asyla,4.4319209526925656e-09,
ataps,6.913011136356744e-10,
ataxy,4.357156666269406e-08,
atigi,1.3983409130800283e-10,
atilt,8.346991649094992e-09,
atimy,3.347082448941603e-10,
atlas,7.360654021062793e-07,
atman,3.4125465078108735e-08,
atmas,2.0994783219622309e-10,
atmos,1.229295627326065e-07,
atocs,3.216660861282694e-11,
atoke,1.9885161763738558e-10,
atoks,1.5528234447480357e-11,
atoll,3.966387939158267e-07,353.0
atoms,8.579920987591331e-06,
atomy,1.3882095360419665e-08,
atone,4.782910815492869e-07,369.0
atony,1.0628639879670325e-07,
atopy,1.526290097656725e-08,
atria,1.967307403854663e-07,
atrip,9.173951906471525e-09,
attap,5.012071619488937e-09,
attar,1.1572041448500909e-07,
attic,2.1396057059064333e-06,2254.0
atuas,1.3650504098733575e-09,
audad,1.570743490203581e-10,
audio,9.716530175865046e-06,1589.0
audit,1.5931645339151147e-05,91.0
auger,3.2453359622900497e-07,
aught,3.581926005935543e-06,
augur,2.232229962828569e-07,406.0
aulas,5.4178384942901095e-09,
aulic,3.936797502563244e-08,
auloi,9.236837866959648e-10,
aulos,6.908714463336697e-09,
aumil,8.730461070275772e-09,
aunes,1.0572882745589592e-08,
aunts,5.091783201465023e-07,
aunty,8.417815692496335e-08,952.0
aurae,2.5827107139694187e-08,
aural,2.5577173400263084e-07,
aurar,1.3909459233045802e-09,
auras,9.39210172711514e-08,
aurei,7.694299334764637e-08,
aures,1.663471176138742e-07,
auric,2.5799787813832827e-08,
auris,5.356248488331571e-08,
aurum,2.877825617432815e-07,
autos,3.123186377262089e-07,
auxin,1.2308046786405282e-07,
avail,4.819930591111188e-06,1232.0
avale,7.453957923696775e-08,
avant,5.331165692149616e-07,
avast,8.746211931963078e-08,
avels,3.7896342634137275e-09,
avens,2.325915683985504e-08,
avers,9.02940107859142e-07,
avert,1.5554093511127576e-06,564.0
avgas,2.749377629382432e-09,
avian,1.7030722870003956e-06,1970.0
avine,5.977784800706218e-09,
avion,9.214788349245838e-09,
avise,1.3870173993491854e-07,
aviso,1.317801176856306e-08,
avize,1.6955178955860672e-08,
avoid,6.044205314537976e-05,1982.0
avows,3.796884518723577e-07,
avyze,0.0,
await,3.477266900517861e-06,2234.0
awake,7.097156694726436e-06,4.0
award,3.122285612334963e-05,675.0
aware,5.377617781050503e-05,1198.0
awarn,1.1182470931474978e-10,
awash,4.914766054753273e-07,1882.0
awato,1.1432301874000477e-10,
awave,4.050863889945791e-09,
aways,1.3178291888849005e-07,
awdls,0.0,
aweel,5.524329982367092e-09,
aweto,3.7898354634145647e-10,
awful,7.437915037371568e-06,377.0
awing,1.854943605144727e-07,
awmry,2.871872931238421e-10,
awned,9.650584996775317e-08,
awner,1.1214845226439897e-08,
awoke,2.335597744149709e-06,709.0
awols,7.738967804601072e-11,
awork,1.1560894255503185e-07,
axels,1.7518242833388567e-09,
axial,8.74400991051516e-06,1942.0
axile,1.994864054862736e-08,
axils,2.096061655747324e-07,
axing,2.2307371336452232e-08,
axiom,1.571340590089676e-06,1710.0
axion,8.067932578459393e-08,2110.0
axite,2.207550208137928e-10,
axled,1.2178525414092016e-08,
axles,9.63989833708139e-07,
axman,3.970390370537753e-09,
axmen,5.612334083528928e-09,
axoid,2.5795605920873238e-09,
axone,8.117554551809181e-09,
axons,2.5252416499255136e-07,
ayahs,6.164857316304229e-09,
ayaya,1.591791894008739e-10,
ayelp,1.5842910390368745e-11,
aygre,1.0042856212776596e-10,
ayins,9.678214122215828e-11,
ayont,1.0637199917050102e-08,
ayres,2.9621976691626057e-07,
ayrie,1.04509230818967e-07,
azans,5.7209754962219174e-11,
azide,1.9254340928363066e-07,
azido,5.099848734241671e-08,
azine,7.291666148186908e-08,
azlon,2.0729112731876496e-10,
azoic,1.834847637673429e-08,
azole,9.465916623804804e-09,
azons,3.82590584780759e-10,
azote,2.894457674190293e-07,
azoth,4.757805288768893e-10,
azuki,2.218535529217537e-09,
azure,5.446076966109103e-07,860.0
azurn,2.833606250442104e-09,
azury,3.5264004388188123e-10,
azygy,0.0,
azyme,3.646337075629472e-10,
azyms,5.551826168330868e-10,
baaed,2.450346396236476e-08,
baals,1.4151470621672684e-09,
babas,2.9712816825545353e-09,
babel,5.3478364466700385e-08,
babes,2.167259842686611e-06,
babka,9.968500179026559e-10,
baboo,9.377566284607397e-09,
babul,1.0377756191999493e-08,
babus,3.1143651490505277e-09,
bacca,2.2604661520375658e-08,
bacco,1.1887787218031101e-07,
baccy,1.1872353736871371e-08,
bacha,1.2970412697269489e-08,
bachs,1.1981745019895784e-09,
backs,5.314435855460978e-06,
bacon,2.907177242832404e-06,1925.0
baddy,3.4673097791964717e-09,
badge,2.1872345382689674e-06,329.0
badly,1.2536307804111856e-05,146.0
baels,1.2357940831644126e-09,
baffs,5.8784037965456394e-09,
baffy,7.967450539843431e-09,
bafts,2.360301646038672e-08,
bagel,2.390488614523179e-07,1707.0
baggy,5.737083344570238e-07,1258.0
baghs,1.1615963176913304e-09,
bagie,4.3360091911868905e-10,
bahts,4.393341725299738e-09,
bahus,5.130048912114302e-10,
bahut,2.0649439668323902e-09,
bails,8.719904084267901e-08,
bairn,2.1828801768204627e-07,
baisa,6.1303375160648e-10,
baith,1.4007804878086895e-06,
baits,9.56423628746432e-07,
baiza,2.413125287466554e-10,
baize,1.372695129940273e-07,
bajan,8.760772440029424e-10,
bajra,2.9592474626945945e-08,
bajri,6.5145788121373085e-09,
bajus,5.121234313090322e-10,
baked,2.3675809993543103e-06,
baken,3.143819410300619e-07,
baker,1.081643581528624e-06,534.0
bakes,2.2013717616308474e-07,
bakra,6.17354587789985e-10,
balas,1.493284022674884e-08,
balds,3.3313380619989145e-08,
baldy,2.4299291758221276e-09,
baled,1.3264393350535918e-07,
baler,1.2308846905284554e-07,1876.0
bales,2.5707691757513264e-06,
balks,9.107291195033549e-08,
balky,1.924062973903172e-08,
balls,6.800381222787494e-06,
bally,2.7923704000347546e-08,
balms,5.61701940447425e-08,
balmy,3.480034635572338e-07,1596.0
baloo,9.669589712002063e-10,
balsa,3.796385099286148e-07,
balti,8.03570658064681e-10,
balun,7.521183624835073e-09,
balus,5.803160745746579e-09,
bambi,6.033955259054923e-10,
banak,8.903368456888138e-10,
banal,8.215897901209246e-07,201.0
banco,2.0485864161274166e-07,
bancs,1.4319421736387082e-08,
banda,3.0461388764382664e-08,
bandh,5.23010294063815e-09,
bands,2.052790868167274e-05,
bandy,2.818076046705843e-07,
baned,1.6611914366945118e-08,
banes,1.484752481953131e-07,
bangs,1.3411276194201624e-07,
bania,9.712172977601656e-09,
banjo,5.405639740274637e-07,2109.0
banks,3.163787685954626e-05,
banns,3.27333356133262e-07,
bants,1.803137607964561e-08,
bantu,3.498611275900906e-09,
banty,1.654200870166092e-09,
banya,3.404093890636305e-09,
bapus,4.323925189585721e-11,
barbe,3.279198608891348e-08,
barbs,2.1461301943103398e-07,
barby,2.43984531109614e-09,
barca,7.593803105135996e-09,
barde,6.880557658713785e-08,
bardo,5.072979619126399e-09,
bards,1.2733665182865869e-06,
bardy,2.5059741937437053e-08,
bared,4.1331452423994854e-07,
barer,4.252299337434643e-08,
bares,1.3412391185036325e-07,
barfi,1.4834690412110922e-09,
barfs,4.3531469165603245e-09,
barge,3.022176583726832e-06,849.0
baric,4.846290891796351e-08,
barks,9.155636185608474e-07,
barky,2.963647585204535e-08,
barms,6.145924498170461e-09,
barmy,2.2993276566394783e-08,
barns,1.3999059358291368e-06,
barny,2.287492873272499e-09,
baron,1.0237816320568528e-06,1868.0
barps,1.579367703426151e-09,
barra,5.288410532138928e-08,
barre,1.8017687749817013e-06,
barro,5.930522809163627e-09,
barry,3.865087945083172e-08,
barye,5.819633658390572e-10,
basal,9.741775729708024e-06,2269.0
